"CustomerID","Gender","Region","Purchase","Amount"
1,"Male","North","No",3265
2,"Male","West","No",1617
3,"Male","South","No",2904
4,"Female","North","Yes",9528
5,"Male","West","No",1538
6,"Female","South","No",4624
7,"Female","North","No",7867
8,"Female","East","Yes",4461
9,"Male","East","No",6617
10,"Male","West","No",7814
11,"Female","West","No",8004
12,"Female","South","Yes",7800
13,"Female","West","Yes",4007
14,"Male","East","No",7803
15,"Female","North","No",3210
16,"Male","South","No",3285
17,"Female","South","No",6792
18,"Male","West","Yes",8683
19,"Male","East","No",3377
20,"Male","South","Yes",6508
21,"Male","North","No",5212
22,"Female","West","Yes",8825
23,"Male","East","Yes",2705
24,"Male","East","Yes",8878
25,"Male","East","No",9080
26,"Male","South","No",9948
27,"Female","South","Yes",1987
28,"Female","East","Yes",8988
29,"Male","North","No",5806
30,"Female","North","Yes",6587
31,"Male","West","Yes",4808
32,"Female","East","No",8425
33,"Male","South","No",3224
34,"Female","South","Yes",2164
35,"Female","South","No",7082
36,"Male","West","No",8633
37,"Male","South","No",3212
38,"Male","South","No",2611
39,"Male","South","No",4852
40,"Female","East","Yes",6564
41,"Male","West","Yes",1709
42,"Female","West","No",9041
43,"Female","South","Yes",2257
44,"Male","North","No",3469
45,"Male","South","Yes",3111
46,"Male","South","Yes",7223
47,"Male","South","Yes",4034
48,"Female","East","No",3338
49,"Male","West","No",7908
50,"Male","South","No",2346
51,"Female","East","Yes",7622
52,"Male","South","No",8727
53,"Male","East","No",9982
54,"Male","West","Yes",6000
55,"Male","North","Yes",6406
56,"Female","East","Yes",6853
57,"Female","East","Yes",5387
58,"Male","East","Yes",6345
59,"Female","North","No",2707
60,"Male","East","Yes",5700
61,"Male","East","No",2834
62,"Female","South","No",4110
63,"Female","South","No",7308
64,"Male","South","Yes",5714
65,"Male","East","No",9274
66,"Female","West","Yes",4467
67,"Male","East","No",8376
68,"Male","East","Yes",5171
69,"Male","South","Yes",6213
70,"Male","North","Yes",8384
71,"Female","South","Yes",8089
72,"Male","West","Yes",7517
73,"Male","West","Yes",3162
74,"Male","West","No",6496
75,"Male","North","Yes",8632
76,"Female","East","No",1681
77,"Female","East","Yes",8081
78,"Male","West","Yes",2561
79,"Female","West","Yes",7540
80,"Female","South","Yes",4813
81,"Female","West","No",5051
82,"Female","North","No",9175
83,"Male","East","Yes",6566
84,"Female","North","Yes",2361
85,"Female","East","Yes",3153
86,"Female","South","No",4958
87,"Male","South","No",7154
88,"Male","North","No",5720
89,"Female","East","Yes",1385
90,"Male","South","No",9332
91,"Female","West","Yes",1030
92,"Female","North","Yes",5189
93,"Male","East","Yes",4785
94,"Female","West","Yes",8587
95,"Female","West","Yes",9369
96,"Male","East","No",6531
97,"Male","East","No",5619
98,"Female","West","No",6697
99,"Male","North","Yes",1203
100,"Male","West","Yes",4246
